BOURBLE | 2 ounces bourbon + 1/2 ounce lemon juice + 1/2 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
CREOLE | 2 ounces light rum + 1 teaspoon lemon juice + 4 ounces beef bouillon + 1/8 teaspoon salt + 1 dash Tabasco sauce + 1/8 teaspoon black pepper + 1 dash Worcestershire + 1 lemon wedge sauce | In a shaker half-filled with ice cubes, combine the rum, bouillon, Tabasco, Worcestershire, lemon juice, salt, and pepper. Shake well. Strain into a highball glass almost filled with ice cubes. Garnish with the lemon wedge. | Highball Glass
CUBA LIBRE | 2 ounces light rum + 1 lime wedge + 5 ounces cola | Pour the rum and cola into a highball glass almost filled with ice cubes. Stir well. Garnish with the lime wedge. | Highball Glass
CUBAN COCKTAIL | 2 ounces light rum + 1/2 teaspoon superfine sugar + 2 teaspoons lime juice + 2 teaspoons lemon juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
CUL-DE-SAC | 2 1/2 ounces añejo rum + 1/2 ounce Ricard | In a mixing glass half-filled with ice cubes, combine both of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
DAIQUIRI | 1 1/2 ounces light rum + 1 teaspoon superfine sugar + 1 ounce lime juice | In a shaker half-filled with ice cubes, combine the rum, lime juice, and sugar. Shake well. Strain into a cocktail glass. | Cocktail Glass
DAMN-YOUR-EYES | 1 1/2 ounces añejo rum + 1 teaspoon dry vermouth + 1/2 ounce Dubonnet Rouge + 1 lemon twist Blonde | In a mixing glass half-filled with ice cubes, combine the rum, Dubonnet, and vermouth. Stir well. Strain into a cocktail glass and garnish with the lemon twist. | Cocktail Glass
DAVID BAREFACE | 1 1/2 ounces light rum + 1 ounce heavy cream + 1/2 ounce white crème de cacao | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
DEEP, DARK SECRET | 1 1/2 ounces dark rum + 1/2 ounce Kahlúa + 1/2 ounce añejo rum + 1/2 ounce heavy cream | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
DeROSIER | 1 ounce añejo rum + 1/2 ounce bourbon + 1/2 ounce dark crème de cacao + 1/2 ounce cherry brandy + 1 ounce heavy cream | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
DIANNE-ON-THE-TOWER | 2 ounces light rum + 1 teaspoon cherry brandy + 1/2 ounce bourbon + 1 teaspoon dark crème de cacao | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
DROOG’S DATE COCKTAIL | 1 1/2 ounces light rum + 2 teaspoons Cointreau or triple sec + 2 teaspoons cherry brandy + 1/2 ounce lime juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
ELEPHANT LIPS | 1 1/2 ounces dark rum + 1/2 ounce crème de bananes + 1/2 ounce lemon juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
EL PRESIDENTE | 2 ounces light rum + 1/2 ounce pineapple juice + 1 ounce lime juice + 1 teaspoon grenadine | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
ENTWISTLE’S ERROR | 2 ounces dark rum + 4 ounces tonic water + 1/2 ounce lemon juice | Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well. | Highball Glass
EYE-OPENER | 1 1/2 ounces light rum + 1 egg yolk + 1/2 ounce Cointreau or triple sec + 1 teaspoon superfine sugar + 2 teaspoons Pernod + 1 teaspoon white crème de cacao | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass. | Sour Glass
FELL JUICE | 1 ounce light rum + 1 teaspoon superfine sugar + 1/2 ounce dark rum + 2 ounces cranberry juice + 1 egg white + 2 teaspoons lemon juice + Crushed ice + 2 teaspoons lime juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with crushed ice. | Old-Fashioned Glass
FIREMAN’S SOUR | 1 1/2 ounces light rum + 2 ounces club soda + 1 1/2 ounces lime juice + 1 orange slice + 1/2 ounce grenadine + 1 maraschino cherry | In a shaker half-filled with ice cubes, combine the rum, lime juice, and grenadine. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the club soda. Stir well. Garnish with the orange slice and the cherry. | Highball Glass
FLIRTING WITH THE SANDPIPER | 1 1/2 ounces light rum + 3 ounces orange juice + 1/2 ounce cherry brandy + 2 dashes orange bitters | Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well. | Highball Glass
GARETH GLOWWORM | 1 1/2 ounces light rum + 1 ounce heavy cream + 1/2 ounce white crème de cacao + 1 teaspoon cherry brandy | In a shaker half-filled with ice cubes, combine the rum, crème de cacao, and heavy cream. Shake well. Strain into a cocktail glass. Drop the cherry brandy into the center of the drink. | Cocktail Glass
GROG | 2 ounces dark rum + 3 ounces water | Pour the rum and the water into an old-fashioned glass with no ice cubes. Stir well. | Old-Fashioned Glass
HAIDIN-HAIDIN | 2 ounces light rum + 1 dash bitters + 1/2 ounce dry vermouth + 1 lemon twist | In a mixing glass half-filled with ice cubes, combine the rum, vermouth, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist. | Cocktail Glass
HAT TRICK | 1/2 ounce dark rum + 1/2 ounce sweet vermouth + 1/2 ounce light rum | In a mixing glass half-filled with ice cubes, combine the dark rum, light rum, and vermouth. Stir well. Strain into a cocktail glass. | Cocktail Glass
HAVANA COCKTAIL | 1 ounce light rum + 1 teaspoon lemon juice + 1 ounce pineapple juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
HORSE AND JOCKEY | 1 ounce añejo rum + 1/2 ounce sweet vermouth + 1 ounce Southern Comfort + 2 dashes bitters | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
HOWELL SAYS SO | 1 1/2 ounces dark rum + 1/2 ounce amaretto + 1/2 ounce Cointreau or triple sec + 1/2 ounce lemon juice + 2 dashes orange bitters | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. | Old-Fashioned Glass
IMMACULATA | 1 1/2 ounces light rum + 1 teaspoon lemon juice + 1/2 ounce amaretto + 1/2 teaspoon superfine sugar + 1/2 ounce lime juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
JONESEY | 2 ounces dark rum + 1/2 ounce dark crème de cacao | In a mixing glass half-filled with ice cubes, combine the rum and crème de cacao. Stir well. Strain into a cocktail glass. | Cocktail Glass
JOY-TO-THE-WORLD | 1 1/2 ounces añejo rum + 1/2 ounce dark crème de cacao + 1/2 ounce bourbon | In a mixing glass half-filled with ices cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
KRAZEE KEITH | 1 1/2 ounces light rum + 1/2 ounce lemon juice + 2 teaspoons anisette + 4 ounces cola + 2 teaspoons cherry + 1 lemon wedge brandy | In a shaker half-filled with ice cubes, combine the rum, anisette, cherry brandy, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Add the cola and stir well. Garnish with the lemon wedge. | Highball Glass
LAMB BROTHERS | 1 1/2 ounces dark rum + 2 ounces pineapple juice + 1/2 ounce crème de cassis | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
LANDED GENTRY | 1 1/2 ounces dark rum + 1 ounce heavy cream + 1/2 ounce Tia Maria | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
LIFETIMER | 1 1/2 ounces light rum + 1/2 ounce lemon juice + 1/2 ounce apricot brandy + 1/2 teaspoon superfine sugar + 1/2 ounce brandy + 1 teaspoon Cointreau or triple sec + 4 ounces club soda + 1 lime wedge | In a shaker half-filled with ice cubes, combine the rum, apricot brandy, brandy, Cointreau, lemon juice, and sugar. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the club soda. Garnish with the lime wedge. | Highball Glass
LITTLE PRINCESS COCKTAIL | 1 1/2 ounces light rum + 1 ounce sweet vermouth | In a mixing glass half-filled with ice cubes, combine both of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
LORD AND LADY | 1 1/2 ounces dark rum + 1/2 ounce Tia Maria | Pour the rum and Tia Maria into an old-fashioned glass almost filled with ice cubes. Stir well. | Old-Fashioned Glass
LOVE FOR TOBY | 1 1/2 ounces light rum + 1/2 ounce cherry brandy + 1/2 ounce brandy + 1 teaspoon lime juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
LUDWIG AND THE GANG | 1 ounce añejo rum + 1 dash bitters + 1 ounce vodka + Crushed ice + 1/2 ounce amaretto + 1/2 ounce Southern Comfort | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into an old-fashioned glass almost filled with crushed ice. | Old-Fashioned Glass
MAESTRO | 1 1/2 ounces añejo rum + Crushed ice + 1/2 ounce cream sherry + 4 ounces ginger ale + 1/2 ounce lime juice + 1 lemon twist | In a shaker half-filled with ice cubes, combine the rum, sherry, and lime juice. Shake well. Strain into a collins glass almost filled with crushed ice. Top with the ginger ale. Garnish with the lemon twist. | Collins Glass
MALLELIEU | 1 1/2 ounces light rum + 2 ounces orange juice + 1/2 ounce Grand Marnier | Pour the rum, Grand Marnier, and orange juice into an old-fashioned glass almost filled with ice cubes. Stir well. | Old-Fashioned Glass
MANDEVILLE | 1 ounce light rum + 1/2 ounce lemon juice + 1 ounce dark rum + 1/2 teaspoon grenadine + 1 teaspoon anisette + 1 ounce cola | In a shaker half-filled with ice cubes, combine the light rum, dark rum, anisette, lemon juice, and grenadine. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Top with the cola. Stir well. | Old-Fashioned Glass
MARDEE MINE | 1 1/2 ounces dark rum + 1 lemon twist + 1/2 ounce sweet vermouth | In a mixing glass half-filled with ice cubes, combine the rum and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist. | Cocktail Glass
MARGARET IN THE MARKETPLACE | 2 ounces añejo rum + 1 teaspoon grenadine + 2 teaspoons lime juice + 1/2 ounce light cream + 2 teaspoons lemon juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
MARY PICKFORD COCKTAIL | 1 1/2 ounces light rum + 1/2 teaspoon grenadine + 1 ounce pineapple juice + 1 maraschino cherry + 1/2 teaspoon maraschino liqueur | In a shaker half-filled with ice cubes, combine the rum, pineapple juice, maraschino liqueur, and grenadine. Shake well. Strain into a cocktail glass. Garnish with the cherry. | Cocktail Glass
MARY’S DREAM | 2 ounces light rum + 4 ounces orange juice + 1/2 ounce Cointreau or triple sec + 2 dashes orange bitters + 1 orange slice | Pour the rum, Cointreau, orange juice, and orange bitters into a highball glass almost filled with ice cubes. Stir well and garnish with the orange slice. | Highball Glass
MAX THE SILENT | 1 ounce añejo rum + 1/2 ounce applejack + 1/2 ounce brandy + 1 teaspoon anisette | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
MÉNAGE À TROIS | 1 ounce dark rum + 1 ounce light cream + 1 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
MISS BELLE | 1 1/2 ounces dark rum + 2 teaspoons dark crème de cacao + 1/2 ounce Grand Marnier | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
MISTER CHRISTIAN | 1 1/2 ounces light rum + 1/2 ounce lemon juice + 1/2 ounce brandy + 1/2 ounce lime juice + 1 ounce orange juice + 1 teaspoon grenadine | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
MONKEY WRENCH | 1 1/2 ounces light rum + 1 dash bitters + 3 ounces grapefruit juice | Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well. | Old-Fashioned Glass
MORGAN’S MOUNTAIN | 1 1/2 ounces light rum + 1 ounce heavy cream + 1/2 ounce white crème de cacao + 1 teaspoon Kahlúa | In a shaker half-filled with ice cubes, combine the rum, crème de cacao, and cream. Shake well. Strain into a cocktail glass. Drop the Kahlúa into the center of the drink. | Cocktail Glass
MOSTLY MAL | 1 1/2 ounces añejo rum + 1/2 teaspoon grenadine + 1/2 ounce dry vermouth + 1 maraschino cherry + 1/2 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine the rum, vermouth, Cointreau, and grenadine. Shake well. Strain into a cocktail glass and garnish with the cherry. | Cocktail Glass
MOZART | 1 1/2 ounces añejo rum + 2 dashes orange bitters + 1/2 ounces sweet vermouth + 1 lemon twist + 1 teaspoon Cointreau or triple sec | In a mixing glass half-filled with ice cubes, combine the rum, vermouth, Cointreau, and orange bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist. | Cocktail Glass
MUMBO JUMBO | 1 1/2 ounces dark rum + 1/8 teaspoon ground cinnamon + 1/2 ounce applejack + 1/2 ounce lemon juice + 1/8 teaspoon grated nutmeg + 1/2 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. | Old-Fashioned Glass
MUMSICLE | 1 1/2 ounces dark rum + 1 dash bitters + 1/2 ounce bourbon + 1 maraschino cherry | In a mixing glass half-filled with ice cubes, combine the rum, bourbon, and bitters. Stir well. Strain into a cocktail glass and garnish with the cherry. | Cocktail Glass
MUTINY | 1 1/2 ounces dark rum + 2 dashes bitters + 1/2 ounce Dubonnet Rouge + 1 maraschino cherry | In a mixing glass half-filled with ice cubes, combine the rum, Dubonnet, and bitters. Stir well. Strain into a cocktail glass and garnish with the cherry. | Cocktail Glass
NEVADA COCKTAIL | 1 1/2 ounces light rum + 1 ounce lime juice + 1 1/2 ounces grapefruit + 2 teaspoons superfine sugar juice + 1 dash bitters | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
OLYMPIA | 2 1/2 ounces dark rum + 1/2 ounce lime juice + 1/2 ounce cherry brandy | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
OWEN MOORE | 1 1/2 ounces light rum + 1 ounce heavy cream + 1/2 ounce white crème de cacao + 1 teaspoon blue Curaçao | In a shaker half-filled with ice cubes, combine the rum, crème de cacao, and heavy cream. Shake well. Strain into a cocktail glass. Drop the Curaçao into the center of the drink. | Cocktail Glass
PEREGRINE’S PERIL | 1 ounce dark rum + 1 teaspoon lime juice + 1/2 ounce crème de bananes + 1 teaspoon lemon juice + 1/2 ounce Southern Comfort | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
PLANTER’S PUNCH | 1 ounce dark rum + 1 ounce light rum + 1 ounce añejo rum + 1 ounce lime juice + 1/2 ounce lemon juice + 2 teaspoons superfine sugar + 3 ounces club soda + 1 maraschino cherry + 1 orange slice + 1 pineapple wedge + 1 lime wedge | In a shaker half-filled with ice cubes, combine the dark rum, light rum, añejo rum, lime juice, lemon juice, and sugar. Shake well. Strain into a collins glass almost filled with ice cubes. Top with the club soda and garnish with the cherry, orange slice, and pineapple and lime wedges. | Collins Glass
PLANTER’S PUNCH #2 | 1 ounce dark rum + 1 ounce light rum + 1 ounce añejo rum + 1 teaspoon lime juice + 1 teaspoon lemon juice + 1 ounce orange juice + 1 ounce pineapple juice + 1/2 ounce grapefruit juice + 1 teaspoon grenadine + 1 maraschino cherry + 1 orange slice + 1 pineapple wedge + 1 lime wedge | In a shaker half-filled with ice cubes, combine the dark rum, light rum, añejo rum, lime juice, lemon juice, orange juice, pineapple juice, grapefruit juice, and grenadine. Shake well. Strain into a collins glass almost filled with ice cubes. Garnish with the cherry, orange slice, and pineapple and lime wedges. | Collins Glass
PLANTER’S PUNCH #3 | 2 ounces dark rum + 1/2 ounce light rum + 1/2 ounce añejo rum + 1 teaspoon lemon juice + 2 ounces orange juice + 1 ounce pineapple juice + 2 teaspoons bourbon + 2 dashes bitters + 1 teaspoon crème de cassis + 1 maraschino cherry + 1 orange slice + 1 teaspoon Rose’s lime + 1 pineapple wedge juice + 1 lime wedge | In a shaker half-filled with ice cubes, combine the dark rum, light rum, añejo rum, bourbon, cassis, Rose’s lime juice, lemon juice, orange juice, pineapple juice, and bitters. Shake well. Strain into a collins glass almost filled with ice cubes. Garnish with the cherry, orange slice, and pineapple and lime wedges. | Collins Glass
P.T.O. | 1 1/2 ounces dark rum + 1/2 ounce vodka + 1/2 ounce Cointreau or triple sec + 2 ounces orange juice + 1 orange slice | Pour the rum, vodka, Cointreau, and orange juice into a highball glass almost filled with ice cubes. Stir well and garnish with the orange slice. | Highball Glass
PUFFER | 2 ounces light rum + 2 ounces grapefruit juice + 2 ounces orange juice + 1 teaspoon grenadine | Pour the rum, orange juice, and grapefruit juice into a highball glass almost filled with ice cubes. Stir well. Drop the grenadine into the center of the drink. | Highball Glass
QUARTER DECK | 1 ounce light rum + 1/2 ounce cream sherry + 1/2 ounce dark rum + 1/2 ounce lime juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
QUENTIN | 1 1/2 ounces dark rum + 1/8 teaspoon grated nutmeg + 1/2 ounce Kahlúa + 1 ounce light cream | In a shaker half-filled with ice cubes, combine the rum, Kahlúa, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg. | Cocktail Glass
REDCOAT | 1 1/2 ounces light rum + 1/2 ounce lime juice + 1/2 ounce vodka + 1 teaspoon grenadine + 1/2 ounce apricot brandy | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
RILEY’S SPARROW | 1 1/2 ounces dark rum + 2 dashes bitters + 1/2 ounce Southern Comfort | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
RUM COBBLER | 1 teaspoon superfine sugar + 2 ounces dark rum + 3 ounces club soda + Crushed ice + 1 maraschino cherry + 1 orange slice + 1 lemon slice | In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the rum. Stir well. Garnish with the cherry and the orange and lemon slices. | Old-Fashioned Glass
RUM COLLINS | 2 ounces dark or light rum + 3 ounces club soda + 1 maraschino cherry + 1 ounce lemon juice + 1 orange slice + 1 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a collins glass almost filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice. | Collins Glass
RUM COOLER | 2 ounces dark or light rum + 1 lemon wedge + 4 ounces lemon-lime soda | Pour the rum and soda into a highball glass almost filled with ice cubes. Stir well and garnish with the lemon wedge. | Highball Glass
RUM CRUSTA | 1 tablespoon superfine sugar + 1 lemon wedge + Peel of 1 orange, cut into a spiral + 2 teaspoons maraschino liqueur + Crushed ice + 1/2 ounce lemon juice + 1 1/2 ounces dark rum + 1/2 ounce Cointreau or triple sec | Place the sugar in a saucer. Rub the rim of a wine goblet with the lemon wedge and dip the glass into the sugar to coat the rim thoroughly; discard the lemon. Place the orange peel spiral in the goblet and drape one end of it over the rim of the glass. Fill the glass with crushed ice. In a shaker half-filled with ice cubes, combine the rum, Cointreau, maraschino liqueur, and lemon juice. Shake well. Strain into the goblet. | Goblet
RUM DAISY | 2 ounces dark rum + 1/2 teaspoon grenadine + 1 ounce lemon juice + 1 maraschino cherry + 1/2 teaspoon superfine sugar + 1 orange slice | In a shaker half-filled with ice cubes, combine the rum, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice. | Old-Fashioned Glass
RUM FIX | 1 teaspoon superfine sugar + 2 ounces light or dark rum + 1 ounce lemon juice + 1 maraschino cherry + 2 teaspoons water + 1 lemon slice + Crushed ice | In a shaker half-filled with ice cubes, combine the sugar, lemon juice, and water. Shake well. Strain into a highball glass almost filled with crushed ice. Add the rum. Stir well and garnish with the cherry and the lemon slice. | Highball Glass
RUM GIMLET | 2 ounces light rum + 1 lime wedge + 1/2 ounce Rose’s lime juice | Pour the rum and Rose’s lime juice into a mixing glass half-filled with ice cubes. Stir well. Strain into a cocktail glass. Garnish with the lime wedge. | Cocktail Glass
RUM MARTINI | 2 1/2 ounces light rum + 1 lemon twist or 1 1/2 teaspoons dry vermouth + 1 cocktail olive | In a mixing glass half-filled with ice cubes, combine the rum and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist or the olive. | Cocktail Glass
RUM SOUR | 2 ounces light rum + 1 ounce lemon juice + 1/2 teaspoon superfine sugar + 1 orange slice + 1 maraschino cherry | In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry. | Sour Glass
RUM SWIZZLE | 1 1/2 ounces lime juice + 1 dash bitters + 1 teaspoon superfine sugar + Crushed ice + 3 ounces club soda + 2 ounces rum | In a shaker half-filled with ice cubes, combine the lime juice, sugar, rum, and bitters. Shake well. Almost fill a collins glass with crushed ice and stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda. Serve with a swizzle stick. | Collins Glass
SAND-GROWN-UN | 1 1/2 ounces dark rum + 1/2 ounce lemon juice + 1/2 ounce sweet vermouth + 1/2 teaspoon superfine sugar + 1/2 ounce cherry brandy | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
SANDRA BUYS A DOG | 1 ounce dark rum + 1 ounce orange juice + 1 ounce añejo rum + 1 dash bitters + 3 ounces cranberry juice | Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well. | Highball Glass
SAXON COCKTAIL | 1 1/2 ounces light rum + 1/2 ounce lime juice + 1/2 teaspoon grenadine + 1 orange slice | In a shaker half-filled with ice cubes, combine the rum, grenadine, and lime juice. Shake well. Strain into a cocktail glass and garnish with the orange slice. | Cocktail Glass
SECRET PLACE | 1 1/2 ounces dark rum + 4 ounces cold coffee + 1/2 ounce cherry brandy + Crushed ice + 2 teaspoons dark crème de cacao | Pour all of the ingredients into an Irish coffee glass filled with crushed ice. Stir well. | Irish Coffee Glass
SEPTEMBER MORNING | 1 1/2 ounces light rum + 1/2 teaspoon grenadine + 1 teaspoon cherry brandy + 1 egg white + 1/2 ounce lime juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
SERPENTINE | 1 ounce light rum + 1/2 teaspoon superfine sugar + 1/2 ounce brandy + 1/2 ounce sweet vermouth + 1 lemon twist + 1/2 ounce lemon juice | In a shaker half-filled with ice cubes, combine the rum, brandy, vermouth, lemon juice, and sugar. Shake well. Strain into a cocktail glass and garnish with the lemon twist. | Cocktail Glass
SEVILLA COCKTAIL | 1 ounce light rum + 1/2 teaspoon superfine sugar + 1/2 ounce tawny port + 2 dashes orange bitters + 1 egg | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass. | Sour Glass
SEVILLA COCKTAIL #2 | 1 1/2 ounces light rum + 1 egg + 1 ounce tawny port + 1 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass. | Sour Glass
SHANGHAI | 1 1/2 ounces light rum + 1/2 ounce lemon juice + 1/2 ounce anisette + 1/2 teaspoon grenadine | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
SILENT BROADSIDER | 1 1/2 ounces light rum + 2 teaspoons sweet vermouth + 2 teaspoons brandy + 2 teaspoons Frangelico + 1 teaspoon grenadine | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
SISTER STARSEEKER | 2 ounces light rum + 4 ounces tonic water + 1 ounce lemon juice + 1 lemon wedge + 1 teaspoon grenadine | Pour the rum, lemon juice, grenadine, and tonic water into a highball glass almost filled with ice cubes. Stir well and garnish with the lemon wedge. | Highball Glass
SITARSKI | 1 1/2 ounces dark rum + 1/2 ounce lime juice + 1 teaspoon lemon juice + 2 ounces grapefruit juice + 1 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. | Old-Fashioned Glass
SLEEPY LEMON CLEGG | 1 1/2 ounces dark rum + 1 ounce orange juice + 1/2 ounce crème de bananes + 1 ounce pineapple juice + Crushed ice + 1/2 ounce lemon juice + 1 lemon wedge | Pour the rum, crème de bananes, lemon juice, orange juice, and pineapple juice into an old-fashioned glass almost filled with crushed ice. Stir well and garnish with the lemon wedge. | Old-Fashioned Glass
SLY GOES TO HAVANA | 1 1/2 ounces light rum + 1 ounce pineapple juice + 1 teaspoon white crème de cacao + 1/2 ounce lime juice + Crushed ice + 1 teaspoon green Chartreuse | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with crushed ice. | Old-Fashioned Glass
SONNY GETS KISSED | 1 1/2 ounces light rum + 2 teaspoons lemon juice + 1/2 ounce apricot brandy + 1/2 teaspoon superfine sugar + 2 teaspoons lime juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
SON OF ADAM | 1 1/2 ounces light rum + 1/2 ounce apricot brandy + 1/2 ounce lemon juice + 1/2 teaspoon superfine sugar + 1 teaspoon grenadine | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
SPARK IN THE NIGHT | 1 1/2 ounces dark rum + 2 teaspoons lime juice + 1/2 ounce Kahlúa | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
STANLEY SENIOR | 2 ounces light rum + 1/2 ounce cranberry + 1 ounce grapefruit juice liqueur | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
STARSEEKER | 2 ounces light rum + 1 teaspoon grenadine + 1 ounce orange juice + 4 ounces tonic water | Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well and garnish with the lemon wedge. | Highball Glass
STRAIN THE REIN | 3 teaspoons superfine sugar + 1 teaspoon Cointreau or triple sec + 1 lime wedge + 1 ounce lemon juice + 1 1/2 ounces light rum + 1/2 ounce raspberry liqueur | Place 2 teaspoons of the sugar in a saucer. Rub the rim of a cocktail glass with the lime wedge and dip the glass into the sugar to coat the rim thoroughly; discard the lime. In a shaker half-filled with ice cubes, combine the rum, raspberry liqueur, Cointreau, lemon juice, and remaining 1 teaspoon sugar. Shake well. Strain into the cocktail glass. | Cocktail Glass
STRANGER-IN-TOWN | 1 1/2 ounces light rum + 1/2 ounce cherry brandy + 1/2 ounce sweet vermouth + 1 maraschino cherry + 1/2 ounce Calvados | In a mixing glass half-filled with ice cubes, combine the rum, vermouth, Calvados, and cherry brandy. Stir well. Strain into a cocktail glass and garnish with the cherry. | Cocktail Glass
SUE RIDING HIGH | 1 1/2 ounces dark rum + 1/2 ounce dark crème de cacao + 2 ounces hot chocolate, cooled to room temperature + 1 teaspoon heavy cream | In a shaker half-filled with ice cubes, combine the rum, crème de cacao, and hot chocolate. Shake well. Strain into a cocktail glass. Drop the cream into the center of the drink. | Cocktail Glass
